POPNUM12,NUMIND12,STAGE01,STAGE02,STAGE03,STAGE04,STAGE05,STAGE06,STAGE07,STAGE08,STAGE09,STAGE010,STAGE011,STAGE012
209,67,j,j,j,j,m,,,,,,,
209,68,a,a,a,a,a,a,a,a,a,a,a,
209,69,a,a,a,a,a,a,a,a,a,a,a,j
209,70,a,a,a,a,a,a,a,a,a,a,a,j
209,71,j,a,a,a,a,a,a,a,a,a,a,j
209,72,a,a,a,a,a,m,,,,,,
209,74,j,a,a,a,m,,,,,,,
209,231,a,a,a,a,a,m,,,,,,
209,232,j,j,j,j,j,j,j,j,j,j,j,j
209,233,j,j,j,j,j,j,j,j,j,j,m,
209,250,p,a,a,a,a,a,a,a,a,a,a,
209,328,a,a,a,a,a,a,a,a,a,a,a,
209,502,,,,,j,m,,,,,,
209,503,,,,,j,a,a,a,a,a,a,j
209,611,,,,,,p,j,j,j,j,j,j
209,654,,,,,,,,,a,m,,
209,655,,,,,,,,,j,m,,
209,657,,,,,,,,,j,j,j,m
209,800,,,,,,,,,,j,j,j
209,801,,,,,,,,,,j,j,j
209,802,,,,,,,,,,j,j,j
209,803,,,,,,,,,,j,j,j
209,804,,,,,,,,,,j,j,m
209,805,,,,,,,,,,j,j,j
209,806,,,,,,,,,,j,j,
209,807,,,,,,,,,,j,j,j
209,808,,,,,,,,,,j,j,
209,809,,,,,,,,,,a,a,m
209,810,,,,,,,,,,j,j,
209,811,,,,,,,,,,j,j,
209,812,,,,,,,,,,a,a,j
209,813,,,,,,,,,,a,a,j
209,814,,,,,,,,,,j,j,j
209,815,,,,,,,,,,j,m,
209,816,,,,,,,,,,p,m,
209,817,,,,,,,,,,j,j,j
209,818,,,,,,,,,,j,j,j
209,819,,,,,,,,,,j,j,j
209,978,,,,,,,,,,,p,m
209,979,,,,,,,,,,,j,m
209,980,,,,,,,,,,,j,
209,981,,,,,,,,,,,j,m
209,982,,,,,,,,,,,j,
209,983,,,,,,,,,,,j,j
209,984,,,,,,,,,,,p,m
209,1100,,,,,,,,,,,,j
209,1101,,,,,,,,,,,,j
209,1102,,,,,,,,,,,,j
209,1103,,,,,,,,,,,,p
209,1104,,,,,,,,,,,,j
209,1105,,,,,,,,,,,,j
209,1106,,,,,,,,,,,,j
229,89,a,a,a,a,a,a,a,a,a,a,a,j
229,90,a,a,a,a,a,a,a,a,a,a,a,j
229,91,a,a,a,a,a,a,a,a,a,a,a,j
229,92,a,a,a,a,a,a,,a,a,a,a,m
229,93,a,a,a,a,a,a,a,a,a,a,a,a
229,94,j,p,j,j,j,j,j,j,j,m,,
229,95,j,p,p,p,p,p,j,m,,,,
229,96,j,p,p,p,a,m,,,,,,
229,97,a,a,a,a,a,m,,,,,,
229,98,j,a,a,a,a,a,a,a,a,a,a,a
229,332,a,a,a,a,a,a,a,a,a,a,a,a
229,333,a,a,a,a,a,a,a,a,a,a,m,
229,334,a,a,a,a,a,m,,,,,,
229,335,a,a,a,a,a,m,,,,,,
229,336,j,p,m,,,,,,,,,
229,337,j,j,j,a,a,m,,,,,,
229,338,a,a,a,a,a,m,,,,,,
229,339,a,a,a,a,a,m,,,,,,
229,340,a,a,a,a,a,m,,,,,,
229,341,a,a,a,a,a,a,a,a,a,a,a,a
229,342,a,a,a,a,a,m,,,,,,
229,343,a,a,a,a,a,a,a,a,a,m,,
229,344,a,m,,,,,,,,,,
229,345,a,a,a,a,a,m,,,,,,
